Lp.,Nazwa Podmiotu,Dyscyplina,Kategoria naukowa
1,Akademia Bialska Nauk Stosowanych im. Jana Pawła II,ekonomia i finanse,B+
2,Akademia Bialska Nauk Stosowanych im. Jana Pawła II,nauki o zdrowiu,B+
3,Akademia Ekonomiczno-Humanistyczna w Warszawie,ekonomia i finanse,B+
4,Akademia Ekonomiczno-Humanistyczna w Warszawie,nauki o polityce i administracji,B+
5,Akademia Ekonomiczno-Humanistyczna w Warszawie,nauki prawne,B+
6,Akademia Ekonomiczno-Humanistyczna w Warszawie,psychologia,B+
7,Akademia Finansów i Biznesu Vistula,ekonomia i finanse,B
8,Akademia Finansów i Biznesu Vistula,historia,A
9,Akademia Finansów i Biznesu Vistula,nauki o polityce i administracji,B+
10,Akademia Finansów i Biznesu Vistula,nauki o zarządzaniu i jakości,A
11,"Akademia Górniczo-Hutnicza im. Stanisława Staszica wKrakowie","automatyka, elektronika ielektrotechnika",A
12,"Akademia Górniczo-Hutnicza im. Stanisława Staszica wKrakowie",ekonomia i finanse,A
13,"Akademia Górniczo-Hutnicza im. Stanisława Staszica wKrakowie",informatyka,B+
14,"Akademia Górniczo-Hutnicza im. Stanisława Staszica wKrakowie","informatyka techniczna itelekomunikacja",A
15,"Akademia Górniczo-Hutnicza im. Stanisława Staszica wKrakowie",inżynieria biomedyczna,A
16,"Akademia Górniczo-Hutnicza im. Stanisława Staszica wKrakowie",inżynieria chemiczna,B+
17,"Akademia Górniczo-Hutnicza im. Stanisława Staszica wKrakowie",inżynieria lądowa i transport,B+
18,"Akademia Górniczo-Hutnicza im. Stanisława Staszica wKrakowie",inżynieria materiałowa,B+
19,"Akademia Górniczo-Hutnicza im. Stanisława Staszica wKrakowie",inżynieria mechaniczna,B+
20,"Akademia Górniczo-Hutnicza im. Stanisława Staszica wKrakowie","inżynieria środowiska, górnictwo ienergetyka",B+
21,"Akademia Górniczo-Hutnicza im. Stanisława Staszica wKrakowie",matematyka,A
22,"Akademia Górniczo-Hutnicza im. Stanisława Staszica wKrakowie",nauki chemiczne,A
23,"Akademia Górniczo-Hutnicza im. Stanisława Staszica wKrakowie",nauki fizyczne,A+
24,"Akademia Górniczo-Hutnicza im. Stanisława Staszica wKrakowie",nauki o kulturze i religii,A
25,"Akademia Górniczo-Hutnicza im. Stanisława Staszica wKrakowie",nauki o zarządzaniu i jakości,B+
26,"Akademia Górniczo-Hutnicza im. Stanisława Staszica wKrakowie",nauki o Ziemi i środowisku,A
27,"Akademia Górniczo-Hutnicza im. Stanisława Staszica wKrakowie",nauki socjologiczne,B+
Lp.,Nazwa Podmiotu,Dyscyplina,Kategoria naukowa
29,Akademia Humanistyczno-Ekonomiczna w Łodzi,"sztuki plastyczne i konserwacja dziełsztuki",C
30,Akademia Ignatianum w Krakowie,filozofia,A
31,Akademia Ignatianum w Krakowie,nauki o kulturze i religii,A
32,Akademia Ignatianum w Krakowie,nauki o polityce i administracji,B+
33,Akademia Ignatianum w Krakowie,pedagogika,B+
34,Akademia Ignatianum w Krakowie,psychologia,B+
35,Akademia im. Jakuba z Paradyża,ekonomia i finanse,B
36,Akademia im. Jakuba z Paradyża,"informatyka techniczna itelekomunikacja",C
37,Akademia im. Jakuba z Paradyża,inżynieria mechaniczna,B
38,Akademia im. Jakuba z Paradyża,językoznawstwo,B
39,Akademia im. Jakuba z Paradyża,nauki o bezpieczeństwie,B
40,Akademia im. Jakuba z Paradyża,nauki prawne,B
41,Akademia im. Jakuba z Paradyża,pedagogika,B
42,"Akademia Kaliska im. Prezydenta StanisławaWojciechowskiego",nauki o bezpieczeństwie,B
43,"Akademia Kaliska im. Prezydenta StanisławaWojciechowskiego",nauki o zarządzaniu i jakości,B+
44,"Akademia Kaliska im. Prezydenta StanisławaWojciechowskiego",nauki o zdrowiu,B+
45,Akademia Katolicka w Warszawie,nauki teologiczne,B+
46,Akademia Leona Koźmińskiego w Warszawie,ekonomia i finanse,B+
47,Akademia Leona Koźmińskiego w Warszawie,nauki o zarządzaniu i jakości,B+
48,Akademia Leona Koźmińskiego w Warszawie,nauki prawne,B
49,Akademia Morska w Szczecinie,inżynieria lądowa i transport,B+
50,Akademia Morska w Szczecinie,inżynieria mechaniczna,B+
51,Akademia Morska w Szczecinie,nauki o zarządzaniu i jakości,A
52,Akademia Muzyczna im. Feliksa Nowowiejskiego w Bydgoszczy,sztuki muzyczne,B+
53,"Akademia Muzyczna im. Grażyny i Kiejstuta Bacewiczów wŁodzi",sztuki muzyczne,A
54,"Akademia Muzyczna im. Ignacego Jana Paderewskiego wPoznaniu",sztuki muzyczne,A
55,Akademia Muzyczna im. Karola Lipińskiego we Wrocławiu,sztuki muzyczne,B+
56,Akademia Muzyczna im. Karola Szymanowskiego w Katowicach,sztuki muzyczne,B+
57,Akademia Muzyczna im. Krzysztofa Pendereckiego w Krakowie,sztuki muzyczne,B+
58,Akademia Muzyczna im. Stanisława Moniuszki w Gdańsku,sztuki muzyczne,A
